RWY:RW05 ,00000,      ,00000, ,    , ,   ;N30361668,W086563797,0000;
RWY:RW09 ,00000,      ,00000, ,    , ,   ;N30364699,W086564143,0000;
RWY:RW14 ,00000,      ,00000, ,    , ,   ;N30364825,W086564079,0000;
RWY:RW18 ,00000,      ,00000, ,    , ,   ;N30365370,W086563054,0000;
RWY:RW23 ,00000,      ,00000, ,    , ,   ;N30364750,W086560087,0000;
RWY:RW27 ,00000,      ,00000, ,    , ,   ;N30364603,W086554992,0000;
RWY:RW32 ,00000,      ,00000, ,    , ,   ;N30361607,W086560515,0000;
RWY:RW36 ,00000,      ,00000, ,    , ,   ;N30360920,W086563153,0000;
