SID:040,5,DIBA2A, ,TT243,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DIBA2A, ,TT221,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DIBA2A, ,TT246,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,DIBA2A, ,TT247,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,DIBA2A, ,TT248,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,DIBA2A, ,DIBAD,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DIBA2C,RW26L,TT120,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2548,0038,2560,0039,+,02000,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DIBA2C,RW26L,ANWAT,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     ,-,220,    ,   , , , , , , , , ;
SID:010,4,DIBA2C,RW26R,TT119,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2565,0038,2560,0039,+,02000,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DIBA2C,RW26R,ANWAT,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     ,-,220,    ,   , , , , , , , , ;
SID:010,5,DIBA2C, ,ANWAT,UT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,5,DIBA2C, ,TT249,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DIBA2C, ,DIBAD,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL200,13000,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DILR2A,RW08L,TT115,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0754,0132,0760,0108,+,03500,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DILR2A,RW08L,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,4,DILR2A,RW08L,DAKZO,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DILR2A,RW08R,TT116,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0759,0132,0760,0109,+,03500,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DILR2A,RW08R,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,4,DILR2A,RW08R,DAKZO,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DILR2A, ,DAKZO,UT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,13000, ,   ,    ,   ,TKT,UT,D, , , , , ;
SID:020,5,DILR2A, ,TT237,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DILR2A, ,TT225,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DILR2A, ,TT243,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DILR2A, ,TT221,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DILR2A, ,TT245,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,DILR2A, ,DILRO,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DILR2C,RW26L,TT120,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2548,0038,2560,0039,+,02000,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DILR2C,RW26L,ANWAT,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     ,-,220,    ,   , , , , , , , , ;
SID:010,4,DILR2C,RW26R,TT119,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2565,0038,2560,0039,+,02000,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,DILR2C,RW26R,ANWAT,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     ,-,220,    ,   , , , , , , , , ;
SID:010,5,DILR2C, ,ANWAT,UT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,13000,-,220,    ,   ,TKT,UT,D, , , , , ;
SID:020,5,DILR2C, ,TT243,UT,E,A,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,05000,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DILR2C, ,TT221,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,08000,06000,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DILR2C, ,TT245,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DILR2C, ,DILRO,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ELMA2A,RW08L,TT115,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0754,0132,0760,0108,+,03500,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,ELMA2A,RW08L,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,4,ELMA2A,RW08L,DAKZO,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ELMA2A,RW08R,TT116,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0759,0132,0760,0109,+,03500,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,4,ELMA2A,RW08R,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,4,ELMA2A,RW08R,DAKZO,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ELMA2A, ,DAKZO,UT,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,13000, ,   ,    ,   ,TKT,UT,D, , , , , ;
