SID:040,5,LINR2Y,RW07,OFIRA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LINR2Y,RW07,OLUZI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL150,FL120,     , ,270,    ,   , , , , , , , , ;
SID:060,5,LINR2Y,RW07,RINLO,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,270,    ,   , , , , , , , , ;
SID:070,5,LINR2Y,RW07,ANEPO,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,LINR2Y,RW07,LINRU,UU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LINR2Z,RW25,DER25,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUMO,UU,P,A, , , , ;
SID:020,5,LINR2Z,RW25,MO092,UU,P,C,E   , ,   ,CF, ,DMD,UU,D, ,      ,2806,0188,2540,0030, ,     ,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,5,LINR2Z,RW25,MO310,UU,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,02000,     ,     ,-,160,    ,   , , , , , , , , ;
SID:040,5,LINR2Z,RW25,KIBUR,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:050,5,LINR2Z,RW25,SOMAG,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,06000,     , ,250,    ,   , , , , , , , , ;
SID:060,5,LINR2Z,RW25,OFIRA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,LINR2Z,RW25,OLUZI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL150,FL120,     , ,270,    ,   , , , , , , , , ;
SID:080,5,LINR2Z,RW25,RINLO,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,270,    ,   , , , , , , , , ;
SID:090,5,LINR2Z,RW25,ANEPO,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,LINR2Z,RW25,LINRU,UU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OLMU2Y,RW07,DER07,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUMO,UU,P,A, , , , ;
SID:020,5,OLMU2Y,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0740,    ,+,01100,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,5,OLMU2Y,RW07,SOMAG,UU,E,A,E   , ,   ,CF, ,DMD,UU,D, ,      ,2205,0110,1510,0140,B,09000,06000,     ,-,180,    ,   , , , , , , , , ;
SID:050,5,OLMU2Y,RW07,DMD,UU,D, ,V   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,OLMU2Y,RW07,DAZGI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,10000,09000,     , ,250,    ,   , , , , , , , , ;
SID:070,5,OLMU2Y,RW07,GEKLA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,250,    ,   , , , , , , , , ;
SID:090,5,OLMU2Y,RW07,UNRUM,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL130,     ,     , ,270,    ,   , , , , , , , , ;
SID:100,5,OLMU2Y,RW07,ABVIV,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL130,     , ,270,    ,   , , , , , , , , ;
SID:110,5,OLMU2Y,RW07,KORFI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL160,     ,     , ,270,    ,   , , , , , , , , ;
SID:120,5,OLMU2Y,RW07,MEFED,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL170,     ,     , ,270,    ,   , , , , , , , , ;
SID:130,5,OLMU2Y,RW07,UDZOK,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL170,     , ,270,    ,   , , , , , , , , ;
SID:140,5,OLMU2Y,RW07,BINPI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:150,5,OLMU2Y,RW07,OLMUN,UU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,OLMU2Z,RW25,DER25,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUMO,UU,P,A, , , , ;
SID:020,5,OLMU2Z,RW25,MO092,UU,P,C,E   , ,   ,CF, ,DMD,UU,D, ,      ,2806,0188,2540,0030, ,     ,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,5,OLMU2Z,RW25,MO310,UU,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,02000,     ,     ,-,160,    ,   , , , , , , , , ;
SID:040,5,OLMU2Z,RW25,KIBUR,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:050,5,OLMU2Z,RW25,SOMAG,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,06000,     , ,250,    ,   , , , , , , , , ;
SID:060,5,OLMU2Z,RW25,DMD,UU,D, ,V   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,OLMU2Z,RW25,DAZGI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,10000,09000,     , ,250,    ,   , , , , , , , , ;
SID:080,5,OLMU2Z,RW25,GEKLA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,10000,     ,     , ,250,    ,   , , , , , , , , ;
SID:090,5,OLMU2Z,RW25,UNRUM,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL130,     ,     , ,270,    ,   , , , , , , , , ;
SID:100,5,OLMU2Z,RW25,ABVIV,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL130,     , ,270,    ,   , , , , , , , , ;
SID:110,5,OLMU2Z,RW25,KORFI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL160,     ,     , ,270,    ,   , , , , , , , , ;
SID:120,5,OLMU2Z,RW25,MEFED,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL170,     ,     , ,270,    ,   , , , , , , , , ;
SID:130,5,OLMU2Z,RW25,UDZOK,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL170,     , ,270,    ,   , , , , , , , , ;
SID:140,5,OLMU2Z,RW25,BINPI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:150,5,OLMU2Z,RW25,OLMUN,UU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,POKA2Y,RW07,DER07,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUMO,UU,P,A, , , , ;
SID:020,5,POKA2Y,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0740,    ,+,01100,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,5,POKA2Y,RW07,SOMAG,UU,E,A,E   , ,   ,CF, ,WNK,UU,D, ,      ,1325,0235,1510,0140,B,09000,06000,     ,-,180,    ,   , , , , , , , , ;
SID:040,5,POKA2Y,RW07,OFIRA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,POKA2Y,RW07,NIBLA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL130,     , ,270,    ,   , , , , , , , , ;
SID:060,5,POKA2Y,RW07,OZLER,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL160,FL140,     , ,270,    ,   , , , , , , , , ;
