STAR:010,5,DIKR3V,RW04,DIKRI,UT,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,DIKR3V,RW04,FA203,UT,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,MIKD3U,RW22,MIKDI,UT,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,MIKD3U,RW22,FA329,UT,P,C,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,MIKD3U,RW22,FA328,UT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,MIKD3V,RW04,MIKDI,UT,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,MIKD3V,RW04,FA205,UT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,OGOD3U,RW22,OGODA,UC,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,OGOD3U,RW22,AFEKE,UT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,OGOD3U,RW22,FA329,UT,P,C,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,OGOD3U,RW22,FA328,UT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,OGOD3V,RW04,OGODA,UC,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,OGOD3V,RW04,FA206,UT,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,OGOD3V,RW04,FA203,UT,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,RUBV3U,RW22,RUBVU,UT,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
STAR:020,5,RUBV3U,RW22,FA329,UT,P,C,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,RUBV3U,RW22,FA328,UT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,RUBV3V,RW04,RUBVU,UT,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,08000, ,   ,    ,   ,UTFA,UT,P,A, , , , ;
