SID:030,5,DIBA2B,RW08,TP404,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DIBA2B,RW08,DIBAD,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DIBA2C,RW26,TP306,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2866,0050,2560,0100,+,03500,     ,13000, ,   ,    ,   ,UTTP,UT,P,A, , , , ;
SID:020,5,DIBA2C,RW26,ANWAT,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DIBA2C,RW26,TT249,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DIBA2C,RW26,DIBAD,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL200,13000,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DILR2A,RW08,TP269,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0671,0170,0760,0088,+,03300,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,5,DILR2A,RW08,TT259,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,DILR2A,RW08,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,DILR2A,RW08,DAKZO,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DILR2A,RW08,TT237,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DILR2A,RW08,TT225,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,DILR2A,RW08,TT243,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,DILR2A,RW08,TT221,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,DILR2A,RW08,TT245,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,DILR2A,RW08,DILRO,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DILR2C,RW26,TP306,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,2866,0050,2560,0100,+,03500,     ,13000, ,   ,    ,   ,UTTP,UT,P,A, , , , ;
SID:020,5,DILR2C,RW26,ANWAT,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DILR2C,RW26,TT243,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,05000,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DILR2C,RW26,TT221,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,08000,06000,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DILR2C,RW26,TT245,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DILR2C,RW26,DILRO,UT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ELMA2A,RW08,TP269,UT,P,C,E   , ,   ,CF, ,TKT,UT,D, ,      ,0671,0170,0760,0088,+,03300,     ,13000,-,200,    ,   ,TKT,UT,D, , , , , ;
SID:020,5,ELMA2A,RW08,TT259,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ELMA2A,RW08,TT118,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,ELMA2A,RW08,DAKZO,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ELMA2A,RW08,TT237,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ELMA2A,RW08,TT225,UT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,240,    ,   , , , , , , , , ;
