SID:040,2,DIKN2F,RW31,DIKNA,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DIKN2G,RW13,NU420,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,1031,0455,1330,0060,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,5,DIKN2G,RW13,DIKNA,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DIKN2H,RW13, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1330,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,DIKN2H,RW13,RG,UT,D,B,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,DIKN2H,RW13, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1110,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DIKN2H,RW13,DIKNA,UT,E,A,EE  , ,   ,CF, ,DSH,UT,D, ,      ,0869,0881,0810,0460,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EVTE2E,RW31,NU530,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,0919,0341,3130,0059,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,5,EVTE2E,RW31,NU531,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,EVTE2E,RW31,EVTEV,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EVTE2F,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3130,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,EVTE2F,RW31,NU,UT,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,EVTE2F,RW31,EVTEV,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EVTE2G,RW13,NU420,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,1031,0455,1330,0060,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:030,5,EVTE2G,RW13,EVTEV,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EVTE2H,RW13, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1330,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,EVTE2H,RW13,RG,UT,D,B,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,EVTE2H,RW13, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,0970,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EVTE2H,RW13,EVTEV,UT,E,A,EE  , ,   ,CF, ,DSH,UT,D, ,      ,0784,0879,0670,0490,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MAKI2E,RW31,NU530,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,0919,0341,3130,0059,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:030,5,MAKI2E,RW31,MAKIX,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MAKI2F,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3130,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,MAKI2F,RW31,NU,UT,P,N,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,MAKI2F,RW31, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,3310,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
