SID:020,2,DODU6A,RW08,CR,UT,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,2,DODU6A,RW08,MASUS,UT,P,C,E C ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DODU6A,RW08,UKFEK,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DODU6A,RW08,DODUR,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DODU6B,RW26,CR,UT,P,N,E   , ,   ,CF, ,SMK,UA,D, ,      ,1710,0519,2550,0030,+,03100,     ,06000, ,   ,    ,   ,UTTC,UT,P,A, , , , ;
SID:020,2,DODU6B,RW26,MASUS,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DODU6B,RW26,UKFEK,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DODU6B,RW26,DODUR,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DODU6C,RW08,TC301,UT,P,C,E   , ,   ,CF, ,SMK,UA,D, ,      ,1643,0516,0750,0020,+,02900,     ,06000,-,160,    ,   ,UTTC,UT,P,A, , , , ;
SID:020,5,DODU6C,RW08,TC302,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DODU6C,RW08,TC303,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DODU6C,RW08,MASUS,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DODU6C,RW08,UKFEK,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DODU6C,RW08,DODUR,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DODU6D,RW26,TC201,UT,P,C,E   , ,   ,CF, ,SMK,UA,D, ,      ,1702,0519,2550,0020,+,02900,     ,06000,-,160,    ,   ,UTTC,UT,P,A, , , , ;
SID:020,5,DODU6D,RW26,TC202,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DODU6D,RW26,MASUS,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DODU6D,RW26,UKFEK,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
